date,county,state,fips,cases,deaths,stay_at_home_announced,stay_at_home_effective,lat,lon,total_population,area_sqmi,population_density_per_sqmi
10/31/2020,Autauga,Alabama,1001,2159,31,yes,yes,32.53492796,-86.64274781,55049,594.4461199,92.60553338
10/31/2020,Baldwin,Alabama,1003,6940,71,yes,yes,30.72748899,-87.72257524,199510,1589.807425,125.4931867
10/31/2020,Barbour,Alabama,1005,1060,9,yes,yes,31.86958881,-85.39321291,26614,884.875776,30.07653811
10/31/2020,Bibb,Alabama,1007,873,15,yes,yes,32.99863415,-87.12648014,22572,622.5823549,36.25544448
10/31/2020,Blount,Alabama,1009,2074,25,yes,yes,33.9808782,-86.56738341,57704,644.806508,89.4904119
10/31/2020,Bullock,Alabama,1011,653,17,yes,yes,32.10053438,-85.71568627,10552,622.8053585,16.94269302
10/31/2020,Butler,Alabama,1013,1022,41,yes,yes,31.75241781,-86.68030288,20280,776.8280471,26.10616349
10/31/2020,Calhoun,Alabama,1015,4861,65,yes,yes,33.77143651,-85.82603459,115883,605.8887948,191.2611704
10/31/2020,Chambers,Alabama,1017,1389,47,yes,yes,32.91435287,-85.39203349,34018,596.5311116,57.02636348
10/31/2020,Cherokee,Alabama,1019,783,15,yes,yes,34.17592601,-85.60380039,25897,553.719701,46.76915044
10/31/2020,Chilton,Alabama,1021,1938,33,yes,yes,32.84786998,-86.71880376,43817,692.8534351,63.24136936
10/31/2020,Choctaw,Alabama,1023,395,12,yes,yes,32.0197775,-88.2631849,13287,913.4999794,14.54515632
10/31/2020,Clarke,Alabama,1025,1394,17,yes,yes,31.67668212,-87.83081391,24847,1238.46438,20.062749
10/31/2020,Clay,Alabama,1027,772,12,yes,yes,33.2690306,-85.86058307,13483,603.9610014,22.3242891
10/31/2020,Cleburne,Alabama,1029,583,9,yes,yes,33.67451959,-85.51881383,14991,560.1042489,26.76466038
10/31/2020,Coffee,Alabama,1031,1865,11,yes,yes,31.40265228,-85.98815917,50991,678.9856517,75.09878872
10/31/2020,Colbert,Alabama,1033,2151,32,yes,yes,34.70047669,-87.80493371,54377,592.619664,91.75699576
10/31/2020,Conecuh,Alabama,1035,577,13,yes,yes,31.42923975,-86.99367837,12697,850.1564718,14.93489778
10/31/2020,Coosa,Alabama,1037,222,3,yes,yes,32.93624951,-86.24765729,10864,650.9260907,16.6900669
10/31/2020,Covington,Alabama,1039,1886,30,yes,yes,31.24849866,-86.45127715,37729,1030.455836,36.61389326
10/31/2020,Crenshaw,Alabama,1041,620,30,yes,yes,31.73153754,-86.31357901,13896,608.8395268,22.82374811
10/31/2020,Cullman,Alabama,1043,2781,25,yes,yes,34.13195,-86.86758257,81316,734.8974892,110.6494459
10/31/2020,Dale,Alabama,1045,1906,52,yes,yes,31.43181495,-85.61100904,49607,561.125964,88.40617469
